State_name,crops
Uttar Pradesh,"Rice, Cotton, Jute, Sugarcane, Arhar, Bajra"
Maharashtra,"Rice, Jowar, Bajara, Wheat, Tur"
Bihar,"Paddy, Wheat, Maize, Pulses"
West Bengal,"Rice, Pulses, Oil seeds, Wheat, Barley"
Andhra Pradesh,"Rice, Sugarcane, Cotton, Chilli pepper, Mango"
Madhya Pradesh,"Paddy, Wheat, Gram, Tur, Urad"
Tamil Nadu,"Rice, Jowar, Ragi, Bajra, Maize"
Rajasthan,"Wheat, Jau, Jwar, Bajra, Maize"
Karnataka,"Rice, Maize, Pulses, Oil seeds, Sugarcane"
Gujarat,"Cotton, Groundnut, Sesamum, Castor, Paddy"
Orissa,"Rice, Pulses, Oil seeds, Jute, Coconut"
Kerala,"Rubber, Coconut, Arecanut, Tapioca, Coffee"
Jharkhand,"Paddy, Maize, Pulses, Sunflower, Groundnut"
Assam,"Sugarcane, Tea, Rice, Various Vegetables, Jute"
Punjab,"Rice, Cotton, Sugarcane, Pearl millet, Maize"
Chhattisgarh,"Paddy, Maize, Jowar, Groundnut, Gram"
Haryana,"Rice, Jowar, Bajra, Maize, Wheat"
Delhi,"Rice, Wheat, Jowar, Pulses, Jute"
Jammu and Kashmir,"Rice, Maize, Wheat, Pulses, Fodder"
Uttarakhand,"Rice, Wheat, Sugarcane, Maize, Soyabean"
Himachal Pradesh,"Wheat, Maize, Rice, Barley, Seed-potato"
Tripura,"Rice, Jackfruit, Pineapple, Potato, Sugarcane"
Meghalaya,"Rice, Maize, Orange, Lemon, Pineapple"
Manipur,"Sugarcane, Oilseeds, Maize, Potatoes, Pulses"
Nagaland,"Rice, Corn, Millets, Pulses, Oilseeds"
Goa,"Ragi, Maize, Jowar, Bajra, Pulses"
Arunachal Pradesh,"Rice, Maize, Millet, Potato, Ginger"
Puducherry,"Banana, Turmeric, Ginger, ladies' fingers, Brinjal"
Mizoram,"Ricebean, Maize, Paddy, Cowpea, Soyabean"
Chandigarh,"Maize, Vegetables, Paddy, Wheat"
Sikkim,"Wheat, Paddy, Maize, Barley, Buck wheat"
Andaman and Nicobar Islands,"Pulse, Mango, Sapota, Orange, Banana"
Dadra and Nagar Haveli,"Paddy, Nagli, Ragi, Jowar, Maize"
Daman and Diu,"Rice, Ragi, Pulses, Beans, Bajra"
Lakshadweep,"Coconut, Arecanut, Rice, Brinjal, Pulses"
